transit_date,station_complex_id,station_ridership,inside_zone
1/14/2024,613,17542,1
1/14/2024,614,27100,1
1/14/2024,228,7484,1
1/14/2024,476,8537,0
1/14/2024,307,4872,0
1/14/2024,157,3153,0
1/14/2024,316,4554,1
1/14/2024,17,8329,1
1/14/2024,609,10661,1
1/14/2024,622,6066,1
1/14/2024,625,15168,1
1/14/2024,623,19124,1
1/14/2024,149,1486,0
1/14/2024,297,586,0
1/14/2024,222,1777,0
1/14/2024,398,9344,0
1/14/2024,327,3482,1
1/14/2024,318,22658,1
1/14/2024,220,554,0
1/14/2024,276,7076,1
1/14/2024,319,4311,1
1/14/2024,310,13981,0
1/14/2024,407,8149,1
1/14/2024,168,6473,1
1/14/2024,392,7164,0
1/14/2024,305,4064,0
1/14/2024,277,6582,1
1/14/2024,303,3986,0
1/14/2024,413,4127,1
1/14/2024,154,2674,0
1/14/2024,145,1566,0
1/14/2024,14,8139,1
1/14/2024,16,9240,1
1/14/2024,403,8691,1
1/14/2024,107,1585,1
1/14/2024,144,2188,0
1/14/2024,165,7720,1
1/14/2024,10,12607,1
1/14/2024,329,2381,1
1/14/2024,153,8846,0
1/14/2024,223,3030,0
1/14/2024,397,19076,0
1/14/2024,118,4575,1
1/14/2024,394,2868,0
1/14/2024,323,7914,1
1/14/2024,409,7140,1
1/14/2024,628,23442,1
1/14/2024,312,2151,0
1/15/2024,16,6519,1
1/15/2024,610,53957,1
1/15/2024,314,7980,0
1/15/2024,624,16979,1
1/15/2024,220,1074,0
1/15/2024,320,6085,1
1/15/2024,297,809,0
1/15/2024,407,7891,1
1/15/2024,612,19900,1
1/15/2024,613,23783,1
1/15/2024,14,7589,1
1/15/2024,303,4783,0
1/15/2024,392,8042,0
1/15/2024,169,6243,1
1/15/2024,9,14185,1
1/15/2024,313,20004,0
1/15/2024,311,8181,0
1/15/2024,225,18618,1
1/15/2024,307,5399,0
1/15/2024,154,3003,0
1/15/2024,301,4361,0
1/15/2024,409,6842,1
1/15/2024,333,4780,1
1/15/2024,395,4513,0
1/15/2024,298,2597,0
1/15/2024,404,8301,1
1/15/2024,436,1158,0
1/15/2024,398,12853,0
1/15/2024,394,3840,0
1/15/2024,622,6616,1
1/15/2024,147,4605,0
1/15/2024,22,1948,1
1/15/2024,160,4694,0
1/15/2024,328,6087,1
1/15/2024,231,13546,1
1/15/2024,234,8526,1
1/15/2024,475,6845,0
1/15/2024,414,5676,1
1/15/2024,602,40652,1
1/15/2024,159,8204,0
1/15/2024,625,13847,1
1/15/2024,316,7612,1
1/15/2024,319,5096,1
1/15/2024,165,8310,1
