transit_date,station_complex_id,station_ridership
2/21/2025,320,10084
2/21/2025,103,2658
2/21/2025,147,6690
2/21/2025,232,13032
2/21/2025,325,3281
2/21/2025,224,9850
2/21/2025,304,6569
2/21/2025,321,5053
2/21/2025,231,16218
2/21/2025,396,11835
2/21/2025,403,19173
2/21/2025,169,11445
2/21/2025,309,8624
2/21/2025,413,9482
2/21/2025,118,5697
2/21/2025,228,18125
2/21/2025,157,6276
2/21/2025,234,10522
2/21/2025,299,4449
2/21/2025,156,2983
2/21/2025,312,11486
2/5/2025,154,5056
2/5/2025,157,7617
2/5/2025,119,21913
2/5/2025,405,26024
2/5/2025,605,19223
2/5/2025,152,4610
2/5/2025,14,16314
2/5/2025,16,13978
2/5/2025,303,8156
2/5/2025,439,10092
2/5/2025,165,17919
2/5/2025,438,9031
2/5/2025,321,6487
2/5/2025,277,14419
2/5/2025,476,20376
2/5/2025,477,27673
2/5/2025,118,5673
2/5/2025,409,8654
2/5/2025,231,15335
2/5/2025,316,20290
2/5/2025,395,10031
2/5/2025,160,6502
2/5/2025,224,9890
2/5/2025,228,21404
2/5/2025,232,10917
2/5/2025,310,28034
2/5/2025,156,3360
2/5/2025,162,17452
2/5/2025,10,20953
2/5/2025,393,10265
2/5/2025,312,11895
2/5/2025,146,7217
2/5/2025,222,6324
2/5/2025,297,1890
2/5/2025,413,13622
2/5/2025,396,14378
2/11/2025,276,16791
2/11/2025,162,16612
2/11/2025,119,21275
2/11/2025,300,5915
2/11/2025,312,11453
2/11/2025,404,16998
2/11/2025,333,16301
2/11/2025,393,11110
2/11/2025,169,14488
2/11/2025,156,3609
2/11/2025,309,8131
2/11/2025,477,26645
2/11/2025,440,6677
2/11/2025,405,24587
2/11/2025,397,35102
2/11/2025,476,19969
2/11/2025,311,14104
2/11/2025,14,15466
2/11/2025,232,10648
2/11/2025,228,21548
2/11/2025,409,8187
2/11/2025,118,5358
2/11/2025,151,18131
2/11/2025,438,8513
2/11/2025,10,20192
2/11/2025,303,7997
2/11/2025,301,8345
2/11/2025,398,22279
2/11/2025,319,11010
2/11/2025,168,13126
2/4/2025,319,10850
2/4/2025,316,20072
2/4/2025,119,21778
2/4/2025,14,15765
2/4/2025,146,7262
2/4/2025,224,9414
2/4/2025,396,14684
2/4/2025,301,8526
2/4/2025,403,22955
2/4/2025,320,10734
2/4/2025,165,17658
2/4/2025,475,15075
2/4/2025,395,10463
2/4/2025,440,7561
2/4/2025,324,13702
2/4/2025,297,2042
2/4/2025,333,16540
2/4/2025,10,20740
2/4/2025,158,8752
2/4/2025,103,2702
2/4/2025,477,27202
2/4/2025,156,3324
2/4/2025,151,17714
2/4/2025,228,20912
2/4/2025,309,9397
2/4/2025,311,14438
2/4/2025,438,8880
2/4/2025,398,22594
2/4/2025,393,10579
2/10/2025,10,16651
2/10/2025,157,7214
2/10/2025,119,18396
2/10/2025,232,9603
2/10/2025,439,9691
2/10/2025,405,22952
2/10/2025,404,14595
2/10/2025,476,17063
2/10/2025,313,27092
2/10/2025,303,7544
2/10/2025,16,11769
2/10/2025,146,6561
2/10/2025,475,13503
2/10/2025,165,15470
2/10/2025,158,8198
2/10/2025,220,2041
2/10/2025,403,19863
2/10/2025,13,7796
2/10/2025,324,10534
2/10/2025,438,8392
2/10/2025,14,13329
2/10/2025,228,18576
2/10/2025,396,13687
2/10/2025,154,4692
2/10/2025,153,19437
2/10/2025,311,12597
2/10/2025,329,4801
2/10/2025,325,2866
2/10/2025,162,14074
2/10/2025,160,5921
2/10/2025,301,7911
2/10/2025,277,11772
2/10/2025,168,10349
2/10/2025,312,10296
2/10/2025,309,8118
2/10/2025,477,23946
2/19/2025,477,24592
2/19/2025,329,5540
2/19/2025,393,8620
2/19/2025,232,11957
2/19/2025,316,19390
2/19/2025,301,7532
2/19/2025,303,7327
2/19/2025,310,24517
2/19/2025,320,10335
2/19/2025,165,16614
2/19/2025,160,6248
2/19/2025,304,6551
2/19/2025,309,8985
2/19/2025,150,1600
2/19/2025,147,6710
2/19/2025,224,10935
2/19/2025,475,13330
2/19/2025,321,6043
2/19/2025,405,24729
2/19/2025,277,14585
2/19/2025,396,12723
2/19/2025,118,5437
2/19/2025,395,8472
2/19/2025,13,9886
2/19/2025,153,18521
2/19/2025,22,4007
2/19/2025,158,8025
2/19/2025,154,4357
2/6/2025,224,9162
2/6/2025,476,19134
2/6/2025,147,6718
2/6/2025,119,22545
2/6/2025,329,5309
2/6/2025,321,6137
2/6/2025,475,14155
2/6/2025,300,5809
2/6/2025,304,6875
2/6/2025,310,26402
2/6/2025,605,17675
2/6/2025,297,1802
2/6/2025,160,6230
